日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2026-03-24,10:30:00,股票,大业股份(603278.XSHG),买,市价单,2700股,10.52,28404,2700股,-,0,2.84,全部成交,2026-03-24 10:30:00
2026-03-24,10:30:00,股票,邦基科技(603151.XSHG),买,市价单,1800股,16.29,29322,1800股,-,0,2.93,全部成交,2026-03-24 10:30:00
2026-03-26,14:20:00,股票,天玑科技(300245.XSHE),卖,市价单,-2600股,13.88,-36088,-2600股,-,7722,21.65,全部成交,2026-03-26 14:20:00
2026-03-26,14:20:00,股票,宝馨科技(002514.XSHE),买,市价单,6700股,4.6,30820,6700股,-,0,3.08,全部成交,2026-03-26 14:20:00
2026-03-31,10:15:00,股票,永安药业(002365.XSHE),卖,市价单,-2100股,14.12,-29652,-2100股,-,-399,17.79,全部成交,2026-03-31 10:15:00
2026-03-31,10:15:00,股票,大业股份(603278.XSHG),卖,市价单,-2700股,11.19,-30213,-2700股,-,1809,18.13,全部成交,2026-03-31 10:15:00
2026-03-31,10:30:00,股票,科恒股份(300340.XSHE),买,市价单,2800股,11.23,31444,2800股,-,0,3.14,全部成交,2026-03-31 10:30:00
2026-03-31,10:30:00,股票,和泰机电(001225.XSHE),买,市价单,600股,50.23,30138,600股,-,0,3.01,全部成交,2026-03-31 10:30:00
2026-04-01,14:50:00,股票,西藏旅游(600749.XSHG),卖,市价单,-1800股,16.27,-29286,-1800股,-,-702,17.57,全部成交,2026-04-01 14:50:00
2026-04-01,14:50:00,股票,双乐股份(301036.XSHE),卖,市价单,-1000股,28.45,-28450,-1000股,-,1090,17.07,全部成交,2026-04-01 14:50:00
2026-04-01,14:50:00,股票,邦基科技(603151.XSHG),卖,市价单,-1800股,16.83,-30294,-1800股,-,972,18.18,全部成交,2026-04-01 14:50:00
2026-04-01,14:50:00,股票,宝馨科技(002514.XSHE),卖,市价单,-6700股,4.67,-31289,-6700股,-,469,18.77,全部成交,2026-04-01 14:50:00
2026-04-01,14:50:00,股票,科恒股份(300340.XSHE),卖,市价单,-2800股,10.99,-30772,-2800股,-,-672,18.46,全部成交,2026-04-01 14:50:00
2026-04-01,14:50:00,股票,和泰机电(001225.XSHE),卖,市价单,-600股,48.77,-29262,-600股,-,-876,17.56,全部成交,2026-04-01 14:50:00
2026-05-07,10:30:00,股票,永安药业(002365.XSHE),买,市价单,2300股,13.8,31740,2300股,-,0,3.17,全部成交,2026-05-07 10:30:00
2026-05-07,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,1100股,28.71,31581,1100股,-,0,3.16,全部成交,2026-05-07 10:30:00
2026-05-07,10:30:00,股票,邦基科技(603151.XSHG),买,市价单,1900股,16,30400,1900股,-,0,3.04,全部成交,2026-05-07 10:30:00
2026-05-07,10:30:00,股票,中岩大地(003001.XSHE),买,市价单,1700股,17.67,30039,1700股,-,0,3,全部成交,2026-05-07 10:30:00
2026-05-07,10:30:00,股票,交大昂立(600530.XSHG),买,市价单,5900股,5.39,31801,5900股,-,0,3.18,全部成交,2026-05-07 10:30:00
2026-05-07,10:30:00,股票,中百集团(000759.XSHE),买,市价单,5800股,5.48,31784,5800股,-,0,3.18,全部成交,2026-05-07 10:30:00
2026-05-14,14:20:00,股票,中岩大地(003001.XSHE),卖,市价单,-1700股,19.48,-33116,-1700股,-,3077,19.87,全部成交,2026-05-14 14:20:00
2026-05-14,14:20:00,股票,交大昂立(600530.XSHG),卖,市价单,-5900股,7.79,-45961,-5900股,-,14160,27.58,全部成交,2026-05-14 14:20:00
2026-05-14,14:20:00,股票,科恒股份(300340.XSHE),买,市价单,3100股,11.05,34255,3100股,-,0,3.43,全部成交,2026-05-14 14:20:00
2026-05-14,14:20:00,股票,东贝集团(601956.XSHG),买,市价单,5900股,5.76,33984,5900股,-,0,3.4,全部成交,2026-05-14 14:20:00
2026-05-20,10:00:00,股票,永安药业(002365.XSHE),卖,市价单,-2300股,12.49,-28727,-2300股,-,-3013,17.24,全部成交,2026-05-20 10:00:00
2026-05-22,10:00:00,股票,邦基科技(603151.XSHG),卖,市价单,-1900股,14.23,-27037,-1900股,-,-3363,16.22,全部成交,2026-05-22 10:00:00
2026-05-22,10:00:00,股票,中百集团(000759.XSHE),卖,市价单,-5800股,4.94,-28652,-5800股,-,-3132,17.19,全部成交,2026-05-22 10:00:00
2026-05-26,10:30:00,股票,科蓝软件(300663.XSHE),买,市价单,3700股,8.43,31191,3700股,-,0,3.12,全部成交,2026-05-26 10:30:00
2026-05-26,10:30:00,股票,立方制药(003020.XSHE),买,市价单,1500股,20.17,30255,1500股,-,0,3.03,全部成交,2026-05-26 10:30:00
2026-05-26,10:30:00,股票,青岛金王(002094.XSHE),买,市价单,5800股,5.45,31610,5800股,-,0,3.16,全部成交,2026-05-26 10:30:00
2026-05-27,10:00:00,股票,双乐股份(301036.XSHE),卖,市价单,-1100股,25.5,-28050,-1100股,-,-3531,16.83,全部成交,2026-05-27 10:00:00
2026-05-27,10:00:00,股票,科恒股份(300340.XSHE),卖,市价单,-3100股,9.81,-30411,-3100股,-,-3844,18.25,全部成交,2026-05-27 10:00:00
2026-06-02,10:30:00,股票,红相股份(300427.XSHE),买,市价单,4400股,6.88,30272,4400股,-,0,3.03,全部成交,2026-06-02 10:30:00
2026-06-02,10:30:00,股票,中科海讯(300810.XSHE),买,市价单,1100股,26.66,29326,1100股,-,0,2.93,全部成交,2026-06-02 10:30:00
