日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2026-03-18,13:09:00,基金,南方原油(501018.XSHG),卖,市价单,-201300股,2.109,-424541.7,-201300股,-,68240.7,84.91,全部成交,2026-03-18 13:09:00
2026-03-18,13:10:00,基金,能源化工ETF建信(159981.XSHE),买,市价单,260700股,1.628,424419.6,260700股,-,0,84.88,全部成交,2026-03-18 13:10:00
2026-03-20,09:45:00,基金,能源化工ETF建信(159981.XSHE),卖,市价单,-260700股,1.614,-420769.8,-260700股,-,-3649.8,84.15,全部成交,2026-03-20 09:45:00
2026-03-20,13:10:00,基金,豆粕ETF华夏(159985.XSHE),买,市价单,186900股,2.25,420525,186900股,-,0,84.1,全部成交,2026-03-20 13:10:00
2026-03-23,13:09:00,基金,豆粕ETF华夏(159985.XSHE),卖,市价单,-186900股,2.279,-425945.1,-186900股,-,5420.1,85.19,全部成交,2026-03-23 13:09:00
2026-03-23,13:10:00,基金,能源化工ETF建信(159981.XSHE),买,市价单,240600股,1.77,425862,240600股,-,0,85.17,全部成交,2026-03-23 13:10:00
2026-03-25,09:45:00,基金,能源化工ETF建信(159981.XSHE),卖,市价单,-240600股,1.675,-403005,-240600股,-,-22857,80.6,全部成交,2026-03-25 09:45:00
2026-03-26,13:10:00,基金,创业板成长ETF华夏(159967.XSHE),买,市价单,617000股,0.653,402901,617000股,-,0,80.58,全部成交,2026-03-26 13:10:00
2026-03-30,13:09:00,基金,创业板成长ETF华夏(159967.XSHE),卖,市价单,-617000股,0.643,-396731,-617000股,-,-6170,79.35,全部成交,2026-03-30 13:09:00
2026-03-30,13:10:00,基金,能源化工ETF建信(159981.XSHE),买,市价单,222500股,1.782,396495,222500股,-,0,79.3,全部成交,2026-03-30 13:10:00
2026-03-31,09:45:00,基金,能源化工ETF建信(159981.XSHE),卖,市价单,-222500股,1.726,-384035,-222500股,-,-12460,76.81,全部成交,2026-03-31 09:45:00
2026-03-31,13:10:00,基金,创业板成长ETF华夏(159967.XSHE),买,市价单,614300股,0.625,383937.5,614300股,-,0,76.79,全部成交,2026-03-31 13:10:00
2026-04-01,13:09:00,基金,创业板成长ETF华夏(159967.XSHE),卖,市价单,-614300股,0.635,-390080.5,-614300股,-,6143,78.02,全部成交,2026-04-01 13:09:00
2026-04-07,13:10:00,基金,红利低波(512890.XSHG),买,市价单,330200股,1.181,389966.2,330200股,-,0,77.99,全部成交,2026-04-07 13:10:00
2026-04-08,13:09:00,基金,红利低波(512890.XSHG),卖,市价单,-330200股,1.185,-391287,-330200股,-,1320.8,78.26,全部成交,2026-04-08 13:09:00
2026-04-08,13:10:00,基金,创业板成长ETF华夏(159967.XSHE),买,市价单,582900股,0.671,391125.9,582900股,-,0,78.23,全部成交,2026-04-08 13:10:00
2026-04-24,10:30:00,基金,创业板成长ETF华夏(159967.XSHE),卖,市价单,-582900股,0.777,-452913.3,-582900股,-,61787.4,90.58,全部成交,2026-04-24 10:30:00
2026-04-24,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,197200股,2.295,452574,197200股,-,0,90.51,全部成交,2026-04-24 13:10:00
