日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-12-02,13:11:00,基金,国投白银LOF(161226.XSHE),买,市价单,113200股,1.626,184063.2,113200股,-,0,18.41,全部成交,2025-12-02 13:11:00
2025-12-03,13:10:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-113200股,1.671,-189157.2,-113200股,-,5094,18.92,全部成交,2025-12-03 13:10:00
2025-12-03,13:11:00,基金,纳指生物(513290.XSHG),买,市价单,120000股,1.577,189240,120000股,-,0,18.92,全部成交,2025-12-03 13:11:00
2025-12-04,13:10:00,基金,纳指生物(513290.XSHG),卖,市价单,-120000股,1.621,-194520,-120000股,-,5280,19.45,全部成交,2025-12-04 13:10:00
2025-12-04,13:11:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,145800股,1.333,194351.4,145800股,-,0,19.44,全部成交,2025-12-04 13:11:00
2025-12-11,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-145800股,1.317,-192018.6,-145800股,-,-2332.8,19.2,全部成交,2025-12-11 13:10:00
2025-12-11,13:11:00,基金,通信ETF富国(159583.XSHE),买,市价单,153800股,1.249,192096.2,153800股,-,0,19.21,全部成交,2025-12-11 13:11:00
2025-12-12,13:10:00,基金,通信ETF富国(159583.XSHE),卖,市价单,-153800股,1.235,-189943,-153800股,-,-2153.2,18.99,全部成交,2025-12-12 13:10:00
2025-12-12,13:11:00,基金,卫星ETF永赢(159206.XSHE),买,市价单,141500股,1.342,189893,141500股,-,0,18.99,全部成交,2025-12-12 13:11:00
2025-12-16,13:10:00,基金,卫星ETF永赢(159206.XSHE),卖,市价单,-141500股,1.362,-192723,-141500股,-,2830,19.27,全部成交,2025-12-16 13:10:00
2025-12-16,13:11:00,基金,通信ETF(515880.XSHG),买,市价单,68000股,2.833,192644,68000股,-,0,19.26,全部成交,2025-12-16 13:11:00
2025-12-25,13:10:00,基金,通信ETF(515880.XSHG),卖,市价单,-68000股,3.124,-212432,-68000股,-,19788,21.24,全部成交,2025-12-25 13:10:00
2025-12-25,13:11:00,基金,科半导体(588710.XSHG),买,市价单,133700股,1.589,212449.3,133700股,-,0,21.24,全部成交,2025-12-25 13:11:00
2025-12-26,13:10:00,基金,科半导体(588710.XSHG),卖,市价单,-133700股,1.579,-211112.3,-133700股,-,-1337,21.11,全部成交,2025-12-26 13:10:00
2025-12-26,13:11:00,基金,通用航空(563320.XSHG),买,市价单,200400股,1.053,211021.2,200400股,-,0,21.1,全部成交,2025-12-26 13:11:00
2025-12-30,13:10:00,基金,通用航空(563320.XSHG),卖,市价单,-200400股,1.088,-218035.2,-200400股,-,7014,21.8,全部成交,2025-12-30 13:10:00
2025-12-30,13:11:00,基金,航空航天ETF华夏(159227.XSHE),买,市价单,163000股,1.337,217931,163000股,-,0,21.79,全部成交,2025-12-30 13:11:00
2026-01-05,13:10:00,基金,航空航天ETF华夏(159227.XSHE),卖,市价单,-163000股,1.392,-226896,-163000股,-,8965,22.69,全部成交,2026-01-05 13:10:00
