日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-12-19,13:10:00,基金,通信ETF(515880.XSHG),卖,市价单,-71000股,2.968,-210728,-71000股,-,2130,21.07,全部成交,2025-12-19 13:10:00
2025-12-19,13:10:00,基金,有色ETF大成(159980.XSHE),买,市价单,110300股,1.911,210783.3,110300股,-,0,21.08,全部成交,2025-12-19 13:10:00
2025-12-23,13:10:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-110300股,1.936,-213540.8,-110300股,-,2757.5,21.35,全部成交,2025-12-23 13:10:00
2025-12-23,14:55:00,基金,通信ETF(515880.XSHG),买,市价单,69400股,3.075,213405,69400股,-,0,21.34,全部成交,2025-12-23 14:55:00
2025-12-24,13:10:00,基金,通信ETF(515880.XSHG),卖,市价单,-69400股,3.099,-215070.6,-69400股,-,1665.6,21.51,全部成交,2025-12-24 13:10:00
2025-12-24,13:10:00,基金,5GETF(515050.XSHG),买,市价单,94200股,2.283,215058.6,94200股,-,0,21.51,全部成交,2025-12-24 13:10:00
2025-12-26,13:10:00,基金,5GETF(515050.XSHG),卖,市价单,-94200股,2.277,-214493.4,-94200股,-,-565.2,21.45,全部成交,2025-12-26 13:10:00
2025-12-26,13:10:00,基金,通用航空(563320.XSHG),买,市价单,203900股,1.052,214502.8,203900股,-,0,21.45,全部成交,2025-12-26 13:10:00
2025-12-30,13:10:00,基金,通用航空(563320.XSHG),卖,市价单,-203900股,1.088,-221843.2,-203900股,-,7340.4,22.18,全部成交,2025-12-30 13:10:00
2025-12-30,14:55:00,基金,航空航天ETF华夏(159227.XSHE),买,市价单,167400股,1.325,221805,167400股,-,0,22.18,全部成交,2025-12-30 14:55:00
2026-01-05,13:10:00,基金,航空航天ETF华夏(159227.XSHE),卖,市价单,-167400股,1.392,-233020.8,-167400股,-,11215.8,23.3,全部成交,2026-01-05 13:10:00
2026-01-05,13:10:00,基金,国防ETF(512670.XSHG),买,市价单,251300股,0.927,232955.1,251300股,-,0,23.3,全部成交,2026-01-05 13:10:00
2026-01-06,13:10:00,基金,国防ETF(512670.XSHG),卖,市价单,-251300股,0.936,-235216.8,-251300股,-,2261.7,23.52,全部成交,2026-01-06 13:10:00
2026-01-06,13:10:00,基金,通信ETF富国(159583.XSHE),买,市价单,177500股,1.325,235187.5,177500股,-,0,23.52,全部成交,2026-01-06 13:10:00
2026-01-08,13:10:00,基金,通信ETF富国(159583.XSHE),卖,市价单,-177500股,1.35,-239625,-177500股,-,4437.5,23.96,全部成交,2026-01-08 13:10:00
2026-01-08,14:40:00,基金,矿业ETF(561330.XSHG),买,市价单,118300股,2.024,239439.2,118300股,-,0,23.94,全部成交,2026-01-08 14:40:00
2026-01-09,13:10:00,基金,矿业ETF(561330.XSHG),卖,市价单,-118300股,2.096,-247956.8,-118300股,-,8517.6,24.8,全部成交,2026-01-09 13:10:00
2026-01-09,13:40:00,基金,芯片设备(561980.XSHG),买,市价单,105900股,2.342,248017.8,105900股,-,0,24.8,全部成交,2026-01-09 13:40:00
2026-01-12,13:10:00,基金,芯片设备(561980.XSHG),卖,市价单,-105900股,2.376,-251618.4,-105900股,-,3600.6,25.16,全部成交,2026-01-12 13:10:00
2026-01-12,14:30:00,基金,化工ETF鹏华(159870.XSHE),买,市价单,296700股,0.848,251601.6,296700股,-,0,25.16,全部成交,2026-01-12 14:30:00
2026-01-16,13:10:00,基金,化工ETF鹏华(159870.XSHE),卖,市价单,-296700股,0.862,-255755.4,-296700股,-,4153.8,25.58,全部成交,2026-01-16 13:10:00
2026-01-16,13:40:00,基金,机器人(562500.XSHG),买,市价单,230500股,1.109,255624.5,230500股,-,0,25.56,全部成交,2026-01-16 13:40:00
2026-01-19,13:10:00,基金,机器人(562500.XSHG),卖,市价单,-230500股,1.118,-257699,-230500股,-,2074.5,25.77,全部成交,2026-01-19 13:10:00
2026-01-19,13:10:00,基金,化工ETF鹏华(159870.XSHE),买,市价单,291200股,0.885,257712,291200股,-,0,25.77,全部成交,2026-01-19 13:10:00
2026-01-20,13:10:00,基金,化工ETF鹏华(159870.XSHE),卖,市价单,-291200股,0.891,-259459.2,-291200股,-,1747.2,25.95,全部成交,2026-01-20 13:10:00
2026-01-20,14:55:00,基金,科创板50(588080.XSHG),买,市价单,171800股,1.51,259418,171800股,-,0,25.94,全部成交,2026-01-20 14:55:00
2026-01-21,13:10:00,基金,科创板50(588080.XSHG),卖,市价单,-171800股,1.563,-268523.4,-171800股,-,9105.4,26.85,全部成交,2026-01-21 13:10:00
2026-01-21,13:10:00,基金,有色ETF大成(159980.XSHE),买,市价单,127400股,2.107,268431.8,127400股,-,0,26.84,全部成交,2026-01-21 13:10:00
2026-01-23,13:10:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-127400股,2.142,-272890.8,-127400股,-,4459,27.29,全部成交,2026-01-23 13:10:00
2026-01-23,13:40:00,基金,黄金ETF(518880.XSHG),买,市价单,25700股,10.619,272908.3,25700股,-,0,27.29,全部成交,2026-01-23 13:40:00
2026-01-26,13:10:00,基金,黄金ETF(518880.XSHG),卖,市价单,-25700股,10.884,-279718.8,-25700股,-,6810.5,27.97,全部成交,2026-01-26 13:10:00
2026-01-26,14:30:00,基金,机器人(562500.XSHG),买,市价单,252600股,1.107,279628.2,252600股,-,0,27.96,全部成交,2026-01-26 14:30:00
2026-01-27,13:10:00,基金,机器人(562500.XSHG),卖,市价单,-252600股,1.092,-275839.2,-252600股,-,-3789,27.58,全部成交,2026-01-27 13:10:00
2026-01-27,14:00:00,基金,石化ETF华夏(159731.XSHE),买,市价单,268000股,1.029,275772,268000股,-,0,27.58,全部成交,2026-01-27 14:00:00
2026-01-28,13:10:00,基金,石化ETF华夏(159731.XSHE),卖,市价单,-268000股,1.067,-285956,-268000股,-,10184,28.6,全部成交,2026-01-28 13:10:00
